"opposed"	"ncit"	"year"	"biopharm"
"117"	"not-opposed"	0	1984	0
"118"	"opposed"	1	1982	0
"119"	"opposed"	4	1984	0
"120"	"not-opposed"	0	1982	0
"121"	"opposed"	3	1984	1
"122"	"not-opposed"	0	1982	0
"123"	"opposed"	0	1982	0
"124"	"not-opposed"	0	1984	0
"125"	"opposed"	10	1982	1
"126"	"opposed"	6	1983	1
"127"	"opposed"	12	1984	0
"128"	"not-opposed"	0	1981	0
"129"	"not-opposed"	0	1982	0
"130"	"not-opposed"	0	1984	0
"131"	"not-opposed"	1	1983	1
"132"	"not-opposed"	1	1982	0
"133"	"opposed"	0	1985	1
"134"	"not-opposed"	0	1983	0
"135"	"opposed"	3	1981	1
"136"	"not-opposed"	0	1982	1
"137"	"not-opposed"	0	1982	0
"138"	"opposed"	4	1983	0
"139"	"opposed"	1	1982	1
"140"	"not-opposed"	3	1982	0
"141"	"opposed"	5	1983	1
"142"	"opposed"	1	1985	1
"143"	"opposed"	5	1983	0
"144"	"not-opposed"	5	1984	0
"145"	"not-opposed"	2	1981	1
"146"	"opposed"	2	1983	0
"147"	"opposed"	7	1983	1
"148"	"opposed"	3	1984	1
"149"	"opposed"	5	1984	0
"150"	"not-opposed"	0	1985	0
"151"	"opposed"	0	1982	0
"152"	"not-opposed"	0	1985	0
"153"	"opposed"	1	1983	0
"154"	"opposed"	0	1984	1
"155"	"not-opposed"	3	1983	0
"156"	"opposed"	1	1982	0
"157"	"not-opposed"	3	1983	0
"158"	"not-opposed"	1	1983	0
"159"	"opposed"	3	1982	0
"160"	"not-opposed"	1	1983	0
"161"	"not-opposed"	5	1983	0
"162"	"opposed"	1	1983	0
"163"	"not-opposed"	4	1983	1
"164"	"not-opposed"	0	1986	1
"165"	"opposed"	0	1984	0
"166"	"not-opposed"	4	1982	0
"167"	"not-opposed"	4	1983	0
"168"	"not-opposed"	2	1984	0
"169"	"not-opposed"	2	1983	0
"170"	"opposed"	1	1987	0
"171"	"not-opposed"	1	1982	1
"172"	"not-opposed"	0	1984	0
"173"	"not-opposed"	4	1987	0
"174"	"opposed"	2	1983	1
"175"	"opposed"	3	1982	1
"176"	"opposed"	3	1982	0
"177"	"opposed"	9	1984	0
"178"	"opposed"	2	1983	0
"179"	"opposed"	3	1983	0
"180"	"not-opposed"	3	1982	0
"181"	"not-opposed"	1	1981	0
"182"	"not-opposed"	0	1983	0
"183"	"not-opposed"	0	1982	0
"184"	"opposed"	5	1984	0
"185"	"opposed"	2	1982	1
"186"	"opposed"	7	1981	1
"187"	"not-opposed"	3	1982	0
"189"	"not-opposed"	1	1982	1
"190"	"opposed"	3	1984	1
"191"	"opposed"	1	1984	1
"192"	"opposed"	1	1983	1
"193"	"not-opposed"	2	1983	0
"194"	"opposed"	2	1986	0
"195"	"opposed"	9	1982	1
"196"	"opposed"	3	1982	0
"197"	"opposed"	0	1982	0
"198"	"opposed"	0	1982	0
"199"	"not-opposed"	0	1988	0
"200"	"opposed"	0	1982	0
"201"	"not-opposed"	1	1983	0
"202"	"opposed"	5	1982	0
"203"	"not-opposed"	0	1983	0
"204"	"not-opposed"	1	1982	1
"205"	"opposed"	1	1984	0
"206"	"not-opposed"	8	1986	0
"207"	"opposed"	0	1984	1
"208"	"opposed"	2	1985	0
"209"	"not-opposed"	0	1983	0
"210"	"opposed"	0	1985	0
"211"	"not-opposed"	0	1983	1
"212"	"opposed"	1	1982	0
"213"	"opposed"	7	1983	0
"214"	"not-opposed"	2	1984	0
"215"	"not-opposed"	1	1984	0
"216"	"not-opposed"	4	1983	0
"217"	"opposed"	2	1983	0
"218"	"opposed"	10	1986	0
"219"	"opposed"	1	1984	1
"220"	"opposed"	2	1984	1
"221"	"opposed"	0	1984	1
"222"	"opposed"	0	1984	1
"223"	"not-opposed"	2	1984	0
"224"	"not-opposed"	2	1988	0
"225"	"opposed"	4	1983	0
"226"	"not-opposed"	1	1984	0
"227"	"not-opposed"	1	1984	0
"228"	"not-opposed"	5	1989	0
"229"	"opposed"	5	1984	0
"230"	"not-opposed"	1	1985	1
"231"	"not-opposed"	1	1983	0
"232"	"not-opposed"	0	1982	1
"233"	"not-opposed"	0	1982	0
"234"	"opposed"	1	1983	0
"235"	"opposed"	12	1992	1
"236"	"not-opposed"	1	1982	0
"237"	"not-opposed"	1	1983	0
"238"	"not-opposed"	0	1983	0
"239"	"not-opposed"	1	1982	0
"240"	"opposed"	5	1983	1
"241"	"not-opposed"	0	1983	0
"242"	"opposed"	1	1983	1
"243"	"not-opposed"	0	1984	0
"244"	"opposed"	0	1983	0
"245"	"not-opposed"	10	1983	0
"246"	"not-opposed"	2	1983	0
"247"	"not-opposed"	1	1985	1
"248"	"opposed"	6	1984	1
"249"	"opposed"	1	1982	1
"250"	"opposed"	2	1983	1
"251"	"opposed"	0	1985	1
"252"	"not-opposed"	0	1982	0
"253"	"not-opposed"	0	1983	0
"254"	"not-opposed"	0	1982	0
"255"	"opposed"	1	1983	0
"256"	"not-opposed"	0	1985	0
"257"	"not-opposed"	6	1985	0
"258"	"not-opposed"	1	1983	0
"259"	"not-opposed"	5	1984	0
"260"	"opposed"	0	1985	0
"261"	"not-opposed"	1	1984	0
"262"	"not-opposed"	7	1986	0
"263"	"not-opposed"	0	1985	0
"264"	"not-opposed"	0	1986	0
"265"	"opposed"	0	1986	0
"266"	"not-opposed"	0	1983	1
"267"	"opposed"	0	1983	0
"268"	"not-opposed"	0	1983	0
"269"	"not-opposed"	0	1986	0
"270"	"opposed"	0	1983	1
"271"	"not-opposed"	0	1983	0
"272"	"not-opposed"	0	1982	0
"273"	"not-opposed"	0	1985	0
"274"	"opposed"	2	1984	1
"275"	"opposed"	0	1985	0
"276"	"not-opposed"	0	1985	0
"277"	"opposed"	3	1988	0
"278"	"not-opposed"	2	1984	0
"279"	"not-opposed"	1	1983	0
"280"	"opposed"	2	1984	0
"281"	"not-opposed"	5	1983	0
"282"	"not-opposed"	3	1983	0
"283"	"opposed"	7	1984	1
"284"	"not-opposed"	2	1983	0
"285"	"opposed"	2	1985	0
"286"	"opposed"	0	1984	0
"287"	"opposed"	4	1984	1
"288"	"opposed"	8	1982	1
"289"	"not-opposed"	0	1985	0
"290"	"not-opposed"	1	1985	1
"291"	"opposed"	2	1982	1
"292"	"not-opposed"	3	1987	0
"293"	"not-opposed"	1	1985	0
"294"	"opposed"	0	1983	0
"295"	"opposed"	12	1982	1
"296"	"not-opposed"	2	1983	1
"297"	"not-opposed"	0	1983	0
"298"	"opposed"	5	1984	1
"299"	"opposed"	4	1983	1
"300"	"not-opposed"	1	1984	0
"301"	"not-opposed"	2	1983	0
"302"	"not-opposed"	2	1983	0
"303"	"not-opposed"	3	1983	1
"304"	"not-opposed"	0	1985	0
"305"	"opposed"	1	1983	1
"306"	"not-opposed"	0	1984	0
"307"	"opposed"	2	1983	0
"308"	"not-opposed"	3	1985	0
"309"	"not-opposed"	0	1985	0
"310"	"opposed"	0	1984	0
"311"	"not-opposed"	2	1987	0
"312"	"not-opposed"	1	1986	0
"313"	"not-opposed"	0	1983	1
"314"	"not-opposed"	0	1984	0
"315"	"not-opposed"	3	1983	1
"316"	"opposed"	1	1983	1
"317"	"not-opposed"	4	1987	0
"318"	"not-opposed"	1	1987	0
"319"	"not-opposed"	0	1986	0
"320"	"opposed"	0	1984	1
"321"	"opposed"	4	1982	1
"322"	"not-opposed"	0	1983	0
"323"	"not-opposed"	3	1984	0
"324"	"not-opposed"	4	1984	1
"325"	"opposed"	1	1985	1
"326"	"not-opposed"	7	1983	0
"327"	"not-opposed"	2	1987	0
"328"	"not-opposed"	3	1987	0
"329"	"opposed"	1	1983	1
"330"	"opposed"	6	1985	1
"331"	"not-opposed"	0	1984	0
"332"	"not-opposed"	3	1983	0
"333"	"not-opposed"	0	1986	0
"334"	"opposed"	1	1984	0
"335"	"not-opposed"	3	1985	0
"336"	"opposed"	0	1984	0
"337"	"opposed"	3	1984	0
"338"	"opposed"	1	1987	0
"339"	"not-opposed"	3	1984	1
"340"	"not-opposed"	0	1987	0
"341"	"not-opposed"	2	1985	0
"342"	"opposed"	2	1987	0
"343"	"opposed"	6	1986	0
"344"	"not-opposed"	1	1983	1
"345"	"not-opposed"	0	1987	0
"346"	"not-opposed"	0	1984	1
"347"	"opposed"	2	1985	1
"348"	"opposed"	5	1984	1
"349"	"not-opposed"	6	1983	1
"350"	"opposed"	4	1987	0
"351"	"not-opposed"	4	1986	0
"352"	"opposed"	2	1984	0
"353"	"not-opposed"	6	1983	1
"354"	"opposed"	1	1985	0
"355"	"opposed"	0	1984	0
"356"	"not-opposed"	3	1984	1
"357"	"opposed"	0	1985	0
"358"	"opposed"	0	1984	0
"359"	"opposed"	3	1984	0
"360"	"opposed"	3	1983	1
"361"	"opposed"	0	1982	0
"362"	"opposed"	2	1982	1
"363"	"opposed"	0	1984	1
"364"	"opposed"	1	1983	0
"365"	"opposed"	6	1988	1
"366"	"opposed"	0	1984	0
"367"	"opposed"	0	1986	1
"368"	"not-opposed"	0	1985	0
"369"	"opposed"	6	1985	1
"370"	"opposed"	3	1983	0
"371"	"not-opposed"	0	1983	0
"372"	"not-opposed"	7	1985	0
"373"	"opposed"	3	1984	1
"374"	"opposed"	5	1984	1
"375"	"opposed"	10	1984	1
"376"	"not-opposed"	2	1984	0
"377"	"not-opposed"	0	1984	0
"378"	"not-opposed"	5	1983	1
"380"	"opposed"	5	1983	0
"381"	"opposed"	3	1984	0
"382"	"not-opposed"	1	1986	0
"383"	"opposed"	0	1984	0
"384"	"opposed"	2	1982	0
"385"	"not-opposed"	14	1986	1
"386"	"not-opposed"	2	1984	1
"387"	"not-opposed"	0	1984	0
"388"	"not-opposed"	0	1984	1
"389"	"opposed"	2	1983	1
"390"	"not-opposed"	2	1985	0
"391"	"opposed"	9	1990	1
"392"	"opposed"	2	1986	1
"393"	"opposed"	14	1992	1
"394"	"opposed"	5	1990	1
"395"	"not-opposed"	1	1983	1
"396"	"opposed"	7	1987	1
"397"	"not-opposed"	5	1984	0
"398"	"opposed"	0	1983	1
"399"	"opposed"	4	1983	1
"400"	"opposed"	7	1985	0
"401"	"opposed"	5	1984	1
"402"	"not-opposed"	2	1982	0
"403"	"opposed"	14	1985	0
"404"	"not-opposed"	3	1985	1
"405"	"opposed"	2	1983	1
"406"	"opposed"	1	1983	1
"407"	"opposed"	2	1983	0
"408"	"opposed"	1	1984	0
"409"	"not-opposed"	2	1984	0
"410"	"not-opposed"	3	1987	0
"411"	"opposed"	4	1986	1
"412"	"not-opposed"	1	1986	0
"413"	"not-opposed"	1	1982	1
"415"	"not-opposed"	2	1983	0
"416"	"opposed"	3	1983	1
"417"	"not-opposed"	6	1983	1
"418"	"opposed"	6	1985	0
"419"	"not-opposed"	1	1984	1
"420"	"not-opposed"	5	1986	0
"421"	"opposed"	4	1985	0
"422"	"not-opposed"	4	1984	1
"423"	"not-opposed"	3	1990	0
"424"	"not-opposed"	2	1985	0
"425"	"not-opposed"	0	1984	0
"426"	"not-opposed"	0	1983	0
"427"	"opposed"	2	1984	0
"428"	"not-opposed"	5	1985	0
"429"	"opposed"	5	1984	1
"430"	"opposed"	3	1985	0
"431"	"not-opposed"	2	1984	0
"432"	"opposed"	11	1985	1
"433"	"not-opposed"	4	1984	0
"434"	"opposed"	3	1985	1
"435"	"not-opposed"	4	1984	0
"436"	"opposed"	8	1987	0
"437"	"not-opposed"	1	1987	0
"438"	"not-opposed"	7	1987	0
"439"	"not-opposed"	2	1985	0
"440"	"opposed"	2	1983	0
"441"	"not-opposed"	0	1983	0
"442"	"not-opposed"	0	1984	1
"443"	"opposed"	5	1983	0
"444"	"opposed"	1	1984	0
"445"	"not-opposed"	0	1983	1
"446"	"opposed"	0	1983	0
"447"	"opposed"	4	1984	0
"448"	"not-opposed"	3	1983	0
"449"	"opposed"	12	1984	1
"450"	"not-opposed"	0	1984	0
"451"	"not-opposed"	0	1988	0
"453"	"opposed"	0	1983	0
"454"	"not-opposed"	0	1984	0
"455"	"opposed"	1	1983	1
"456"	"opposed"	1	1986	0
"457"	"opposed"	0	1986	0
"458"	"not-opposed"	0	1987	0
"459"	"not-opposed"	0	1983	1
"460"	"not-opposed"	0	1987	0
"461"	"not-opposed"	0	1985	1
"462"	"opposed"	0	1984	1
"464"	"opposed"	0	1991	1
"465"	"not-opposed"	0	1985	0
"466"	"opposed"	0	1984	0
"467"	"not-opposed"	0	1984	1
"468"	"opposed"	0	1984	0
"469"	"not-opposed"	0	1987	0
"470"	"not-opposed"	0	1987	0
"471"	"not-opposed"	0	1984	1
"472"	"opposed"	0	1984	0
"473"	"opposed"	0	1991	0
"474"	"opposed"	0	1985	1
"475"	"not-opposed"	0	1988	0
"476"	"opposed"	0	1985	0
"477"	"opposed"	0	1984	0
"478"	"not-opposed"	1	1986	1
"479"	"not-opposed"	4	1988	0
"480"	"not-opposed"	1	1985	0
"481"	"not-opposed"	1	1988	0
"482"	"not-opposed"	2	1984	0
"483"	"not-opposed"	2	1985	0
"484"	"not-opposed"	1	1984	1
"485"	"opposed"	4	1983	1
"486"	"opposed"	1	1986	0
"487"	"not-opposed"	2	1984	0
"488"	"opposed"	0	1985	0
"489"	"opposed"	3	1987	1
"490"	"not-opposed"	1	1985	0
"491"	"not-opposed"	0	1986	1
"492"	"not-opposed"	0	1984	0
"493"	"opposed"	4	1984	1
"494"	"not-opposed"	0	1984	0
"495"	"opposed"	1	1985	0
"496"	"not-opposed"	3	1989	0
"497"	"opposed"	0	1985	0
"498"	"opposed"	8	1984	1
"499"	"not-opposed"	2	1984	0
"500"	"not-opposed"	1	1987	0
"501"	"opposed"	1	1985	0
"502"	"not-opposed"	0	1987	0
"503"	"not-opposed"	3	1986	0
"504"	"opposed"	0	1985	1
"505"	"opposed"	0	1987	0
"506"	"not-opposed"	2	1987	0
"507"	"opposed"	2	1984	0
"508"	"opposed"	0	1984	0
"509"	"opposed"	0	1983	0
"510"	"opposed"	0	1983	0
"511"	"opposed"	5	1985	0
"512"	"not-opposed"	5	1986	0
"513"	"not-opposed"	1	1985	0
"514"	"opposed"	4	1984	1
"515"	"not-opposed"	0	1984	0
"516"	"not-opposed"	2	1984	0
"517"	"not-opposed"	0	1984	0
"518"	"not-opposed"	1	1988	0
"519"	"opposed"	5	1989	0
"520"	"opposed"	0	1985	0
"521"	"opposed"	1	1986	0
"522"	"not-opposed"	1	1984	0
"523"	"opposed"	1	1986	0
"524"	"opposed"	1	1988	0
"525"	"opposed"	3	1985	1
"526"	"not-opposed"	2	1988	0
"527"	"opposed"	1	1985	0
"528"	"not-opposed"	0	1987	0
"529"	"opposed"	1	1985	1
"530"	"opposed"	4	1989	1
"531"	"opposed"	4	1984	1
"532"	"not-opposed"	3	1984	1
"533"	"opposed"	2	1985	1
"534"	"not-opposed"	0	1985	0
"535"	"not-opposed"	3	1987	0
"536"	"opposed"	4	1987	0
"537"	"not-opposed"	5	1986	0
"538"	"opposed"	3	1985	1
"539"	"not-opposed"	0	1984	0
"540"	"opposed"	5	1986	1
"541"	"opposed"	0	1984	0
"542"	"not-opposed"	2	1985	0
"543"	"not-opposed"	0	1988	0
"544"	"not-opposed"	2	1984	0
"545"	"opposed"	5	1989	0
"546"	"opposed"	3	1987	0
"547"	"not-opposed"	1	1985	0
"548"	"not-opposed"	0	1986	0
"549"	"opposed"	1	1985	1
"550"	"not-opposed"	0	1987	0
"551"	"opposed"	5	1985	1
"552"	"not-opposed"	5	1985	0
"553"	"opposed"	1	1985	0
"554"	"not-opposed"	4	1986	0
"555"	"not-opposed"	0	1986	0
"556"	"not-opposed"	0	1986	0
"557"	"not-opposed"	0	1985	0
"558"	"not-opposed"	1	1987	0
"559"	"not-opposed"	1	1984	0
"560"	"opposed"	0	1984	0
"561"	"not-opposed"	5	1988	0
"562"	"opposed"	1	1986	0
"563"	"not-opposed"	2	1984	0
"564"	"not-opposed"	3	1988	0
"565"	"not-opposed"	2	1987	0
"566"	"not-opposed"	0	1984	1
"567"	"not-opposed"	7	1989	1
"568"	"not-opposed"	13	1986	0
"569"	"opposed"	1	1985	0
"570"	"not-opposed"	1	1989	0
"571"	"opposed"	9	1985	1
"572"	"not-opposed"	0	1988	0
"573"	"not-opposed"	7	1987	0
"574"	"opposed"	11	1985	1
"575"	"opposed"	2	1986	0
"576"	"not-opposed"	3	1988	0
"577"	"opposed"	3	1985	0
"578"	"opposed"	3	1987	0
"579"	"opposed"	0	1988	0
"580"	"not-opposed"	0	1986	0
"581"	"opposed"	6	1986	0
"582"	"opposed"	3	1985	1
"583"	"opposed"	1	1986	0
"584"	"opposed"	5	1989	0
"585"	"not-opposed"	1	1985	1
"586"	"opposed"	1	1986	0
"587"	"opposed"	0	1987	0
"588"	"opposed"	6	1984	1
"589"	"not-opposed"	0	1986	0
"590"	"opposed"	0	1988	1
"591"	"opposed"	1	1986	0
"592"	"not-opposed"	8	1986	1
"593"	"opposed"	11	1988	1
"594"	"opposed"	4	1984	0
"595"	"opposed"	2	1984	1
"596"	"opposed"	4	1985	0
"597"	"opposed"	5	1984	0
"598"	"opposed"	4	1987	0
"599"	"opposed"	2	1988	1
"600"	"opposed"	2	1987	1
"601"	"opposed"	1	1985	1
"602"	"opposed"	1	1985	0
"603"	"opposed"	4	1988	1
"604"	"not-opposed"	0	1985	1
"605"	"not-opposed"	0	1988	0
"606"	"opposed"	0	1984	1
"607"	"not-opposed"	2	1985	1
"608"	"opposed"	10	1985	1
"610"	"opposed"	8	1985	0
"612"	"not-opposed"	1	1985	0
"613"	"opposed"	9	1985	1
"614"	"not-opposed"	4	1989	0
"615"	"not-opposed"	8	1989	1
"616"	"not-opposed"	1	1985	1
"617"	"not-opposed"	2	1986	0
"618"	"opposed"	3	1985	0
"619"	"not-opposed"	0	1986	0
"620"	"opposed"	1	1985	0
"621"	"opposed"	5	1986	1
"623"	"opposed"	2	1986	1
"624"	"not-opposed"	2	1987	0
"625"	"opposed"	1	1984	0
"626"	"opposed"	0	1984	1
"627"	"opposed"	10	1986	1
"628"	"not-opposed"	5	1985	1
"629"	"not-opposed"	1	1985	0
"630"	"not-opposed"	1	1984	1
"631"	"not-opposed"	2	1985	0
"632"	"opposed"	14	1986	1
"633"	"opposed"	9	1986	1
"634"	"not-opposed"	4	1985	0
"635"	"not-opposed"	2	1984	0
"636"	"not-opposed"	2	1987	0
"637"	"not-opposed"	0	1985	1
"638"	"opposed"	1	1987	0
"639"	"opposed"	1	1986	0
"640"	"not-opposed"	7	1985	0
"641"	"not-opposed"	1	1988	1
"642"	"not-opposed"	1	1987	0
"643"	"opposed"	4	1987	0
"644"	"opposed"	1	1987	0
"645"	"opposed"	13	1987	1
"646"	"opposed"	8	1988	1
"647"	"opposed"	10	1990	1
"649"	"opposed"	2	1988	1
"650"	"opposed"	3	1985	1
"651"	"not-opposed"	5	1990	1
"652"	"opposed"	8	1984	1
"653"	"opposed"	3	1987	0
"654"	"not-opposed"	1	1988	0
"655"	"opposed"	4	1986	0
"656"	"opposed"	4	1986	0
"657"	"not-opposed"	5	1988	0
"658"	"opposed"	0	1987	0
"659"	"not-opposed"	6	1986	0
"661"	"not-opposed"	0	1984	1
"662"	"not-opposed"	0	1986	0
"663"	"not-opposed"	2	1987	0
"664"	"not-opposed"	2	1987	1
"665"	"not-opposed"	7	1986	0
"666"	"not-opposed"	1	1985	1
"667"	"not-opposed"	3	1985	0
"668"	"not-opposed"	3	1987	0
"669"	"not-opposed"	2	1987	0
"670"	"not-opposed"	0	1987	0
"671"	"not-opposed"	1	1985	0
"672"	"not-opposed"	3	1985	0
"673"	"opposed"	2	1985	0
"674"	"not-opposed"	3	1984	0
"675"	"opposed"	2	1983	1
"676"	"not-opposed"	0	1988	0
"677"	"opposed"	1	1985	0
"678"	"opposed"	0	1984	0
"679"	"not-opposed"	0	1984	0
"680"	"not-opposed"	1	1984	1
"681"	"opposed"	0	1984	0
"682"	"opposed"	14	1989	1
"683"	"not-opposed"	2	1989	0
"684"	"not-opposed"	1	1987	0
"685"	"not-opposed"	1	1985	1
"686"	"opposed"	4	1985	0
"687"	"not-opposed"	0	1984	1
"688"	"not-opposed"	1	1984	0
"689"	"not-opposed"	0	1985	0
"690"	"opposed"	2	1986	0
"691"	"not-opposed"	1	1985	0
"692"	"opposed"	7	1989	1
"693"	"not-opposed"	2	1989	0
"694"	"opposed"	0	1984	0
"695"	"opposed"	11	1985	1
"696"	"not-opposed"	0	1984	1
"697"	"not-opposed"	2	1989	0
"698"	"not-opposed"	0	1986	0
"699"	"not-opposed"	0	1986	0
"700"	"not-opposed"	6	1985	1
"701"	"opposed"	0	1985	1
"702"	"not-opposed"	0	1985	1
"703"	"opposed"	0	1985	0
"704"	"opposed"	0	1986	1
"705"	"not-opposed"	0	1987	0
"706"	"opposed"	0	1985	0
"707"	"opposed"	0	1986	1
"708"	"opposed"	0	1988	0
"709"	"opposed"	0	1986	1
"710"	"opposed"	0	1985	1
"711"	"opposed"	0	1988	1
"712"	"opposed"	0	1985	0
"713"	"opposed"	0	1986	1
"714"	"opposed"	0	1987	0
"715"	"not-opposed"	0	1986	0
"716"	"opposed"	5	1988	1
"717"	"not-opposed"	0	1985	1
"719"	"opposed"	1	1987	0
"720"	"opposed"	3	1988	1
"721"	"not-opposed"	0	1985	0
"722"	"not-opposed"	0	1984	0
"723"	"opposed"	6	1985	1
"724"	"not-opposed"	5	1993	0
"725"	"opposed"	2	1987	1
"726"	"not-opposed"	2	1985	0
"727"	"not-opposed"	0	1987	0
"728"	"not-opposed"	0	1988	0
"729"	"not-opposed"	3	1986	0
"731"	"not-opposed"	0	1985	0
"732"	"opposed"	2	1989	0
"733"	"not-opposed"	2	1985	1
"734"	"opposed"	4	1985	0
"735"	"not-opposed"	1	1989	0
"736"	"not-opposed"	1	1988	0
"737"	"not-opposed"	1	1985	0
"738"	"not-opposed"	1	1987	0
"739"	"opposed"	3	1990	1
"740"	"opposed"	11	1986	1
"741"	"not-opposed"	2	1985	1
"742"	"not-opposed"	1	1986	0
"743"	"not-opposed"	4	1990	0
"744"	"not-opposed"	7	1988	1
"745"	"opposed"	6	1990	1
"746"	"not-opposed"	4	1989	0
"747"	"opposed"	2	1989	0
"748"	"opposed"	2	1985	0
"749"	"opposed"	3	1984	0
"750"	"not-opposed"	1	1987	0
"751"	"opposed"	0	1989	0
"752"	"not-opposed"	1	1986	0
"753"	"not-opposed"	1	1988	0
"754"	"not-opposed"	1	1989	1
"755"	"not-opposed"	4	1986	1
"756"	"not-opposed"	1	1986	0
"758"	"opposed"	0	1986	0
"759"	"not-opposed"	0	1987	0
"760"	"not-opposed"	1	1985	1
"761"	"not-opposed"	0	1986	0
"762"	"not-opposed"	2	1991	1
"763"	"opposed"	0	1985	1
"764"	"opposed"	1	1988	1
"765"	"not-opposed"	0	1985	0
"766"	"opposed"	3	1987	0
"767"	"not-opposed"	0	1987	1
"768"	"opposed"	0	1986	0
"769"	"not-opposed"	0	1987	0
"770"	"not-opposed"	4	1986	1
"771"	"not-opposed"	3	1985	0
"772"	"not-opposed"	7	1988	0
"773"	"opposed"	0	1986	0
"774"	"opposed"	0	1986	0
"775"	"not-opposed"	1	1987	0
"776"	"not-opposed"	0	1988	1
"777"	"not-opposed"	2	1989	0
"778"	"not-opposed"	1	1986	0
"779"	"opposed"	2	1988	1
"780"	"not-opposed"	2	1984	1
"781"	"opposed"	0	1985	0
"782"	"not-opposed"	0	1988	0
"783"	"opposed"	6	1987	1
"784"	"not-opposed"	7	1988	0
"785"	"opposed"	5	1986	0
"786"	"not-opposed"	2	1987	0
"787"	"not-opposed"	5	1987	0
