rank,discipline,yrsSincePhd,yrsService,sex,salary
Prof,B,26,19,Male,176.5
AssocProf,B,22,7,Male,98.51
AsstProf,B,3,3,Male,89.942
AsstProf,B,1,0,Male,88.795
Prof,B,21,8,Male,105.89
Prof,B,16,16,Male,167.284
Prof,B,18,19,Male,130.664
AssocProf,B,8,6,Male,101.21
Prof,B,25,18,Male,181.257
AsstProf,B,5,5,Male,91.227
Prof,B,19,19,Male,151.575
Prof,B,37,24,Male,93.164
Prof,B,20,20,Male,134.185
AssocProf,B,17,6,Male,105
Prof,B,28,25,Male,111.751
AssocProf,B,10,7,Male,95.436
AssocProf,B,13,9,Male,100.944
Prof,B,27,14,Male,147.349
AsstProf,B,3,3,Female,92
Prof,B,11,11,Male,142.467
Prof,B,18,5,Male,141.136
AssocProf,B,8,8,Male,100
Prof,B,26,22,Male,150
Prof,B,23,23,Male,101
Prof,B,33,30,Male,134
AssocProf,B,13,10,Female,103.75
Prof,B,18,10,Male,107.5
AssocProf,B,28,28,Male,106.3
Prof,B,25,19,Male,153.75
Prof,B,22,9,Male,180
Prof,B,43,22,Male,133.7
Prof,B,19,18,Male,122.1
AssocProf,B,19,19,Male,86.25
AssocProf,B,48,53,Male,90
AssocProf,B,9,7,Male,113.6
AsstProf,B,4,4,Male,92.7
AsstProf,B,4,4,Male,92
Prof,B,34,33,Male,189.409
Prof,B,38,22,Male,114.5
AsstProf,B,4,4,Male,92.7
Prof,B,40,40,Male,119.7
Prof,B,28,17,Male,160.4
Prof,B,17,17,Male,152.5
Prof,B,19,5,Male,165
Prof,B,21,2,Male,96.545
Prof,B,35,33,Male,162.2
Prof,B,18,18,Male,120
AsstProf,B,7,2,Male,91.3
Prof,B,20,20,Male,163.2
AsstProf,B,4,3,Male,91
Prof,B,39,39,Male,111.35
Prof,B,15,7,Male,128.4
Prof,B,26,19,Male,126.2
AssocProf,B,11,1,Male,118.7
Prof,B,16,11,Male,145.35
Prof,B,15,11,Male,146
AssocProf,B,29,22,Male,105.35
AssocProf,B,14,7,Female,109.65
Prof,B,13,11,Male,119.5
Prof,B,21,21,Male,170
Prof,B,23,10,Male,145.2
AssocProf,B,13,6,Male,107.15
Prof,B,34,20,Male,129.6
Prof,A,38,35,Male,87.8
Prof,A,20,20,Male,122.4
AsstProf,A,3,1,Male,63.9
AssocProf,A,9,7,Male,70
Prof,A,16,11,Male,88.175
Prof,A,39,38,Male,133.9
Prof,A,29,27,Female,91
AssocProf,A,26,24,Female,73.3
Prof,A,38,19,Male,148.75
Prof,A,36,19,Female,117.555
AsstProf,A,8,3,Male,69.7
Prof,A,28,17,Male,81.7
Prof,A,25,25,Male,114
AsstProf,A,7,6,Female,63.1
Prof,A,46,40,Male,77.202
Prof,A,19,6,Male,96.2
AsstProf,A,5,3,Male,69.2
Prof,A,31,30,Male,122.875
Prof,A,38,37,Male,102.6
Prof,A,23,23,Male,108.2
Prof,A,19,23,Male,84.273
Prof,A,17,11,Female,90.45
Prof,A,30,23,Male,91.1
Prof,A,21,18,Male,101.1
Prof,A,28,23,Male,128.8
Prof,A,29,7,Male,204
Prof,A,39,39,Male,109
Prof,A,20,8,Male,102
Prof,A,31,12,Male,132
AsstProf,A,4,2,Female,77.5
Prof,A,28,7,Female,116.45
AssocProf,A,12,8,Male,83
Prof,A,22,22,Male,140.3
AssocProf,A,30,23,Male,74
AsstProf,A,9,3,Male,73.8
Prof,A,32,30,Male,92.55
AssocProf,A,41,33,Male,88.6
Prof,A,45,45,Male,107.55
Prof,A,31,26,Male,121.2
Prof,A,31,31,Male,126
Prof,A,37,35,Male,99
Prof,A,36,30,Male,134.8
Prof,A,43,43,Male,143.94
Prof,A,14,10,Male,104.35
Prof,A,47,44,Male,89.65
Prof,A,13,7,Male,103.7
Prof,A,42,40,Male,143.25
Prof,A,42,18,Male,194.8
AsstProf,A,4,1,Male,73
AsstProf,A,8,4,Male,74
AsstProf,A,8,3,Female,78.5
Prof,A,12,6,Male,93
Prof,A,52,48,Male,107.2
Prof,A,31,27,Male,163.2
Prof,A,24,18,Male,107.1
Prof,A,46,46,Male,100.6
Prof,A,39,38,Male,136.5
Prof,A,37,27,Male,103.6
Prof,A,51,51,Male,57.8
Prof,A,45,43,Male,155.865
AssocProf,A,8,6,Male,88.65
AssocProf,A,49,49,Male,81.8
Prof,A,28,27,Male,115.8
AsstProf,A,2,0,Male,85
Prof,A,29,27,Male,150.5
AsstProf,A,8,5,Male,74
Prof,A,33,7,Male,174.5
Prof,A,32,28,Male,168.5
Prof,A,39,9,Male,183.8
AssocProf,A,11,1,Male,104.8
Prof,A,19,7,Male,107.3
Prof,A,40,36,Male,97.15
Prof,A,18,18,Male,126.3
Prof,A,17,11,Male,148.8
Prof,A,49,43,Male,72.3
AssocProf,A,45,39,Male,70.7
Prof,A,39,36,Male,88.6
Prof,A,27,16,Male,127.1
Prof,A,28,13,Male,170.5
Prof,A,14,4,Male,105.26
Prof,A,46,44,Male,144.05
Prof,A,33,31,Male,111.35
AsstProf,A,7,4,Male,74.5
Prof,A,31,28,Male,122.5
AsstProf,A,5,0,Male,74
Prof,A,22,15,Male,166.8
Prof,A,20,7,Male,92.05
Prof,A,14,9,Male,108.1
Prof,A,29,19,Male,94.35
Prof,A,35,35,Male,100.351
Prof,A,22,6,Male,146.8
AsstProf,B,6,3,Male,84.716
AssocProf,B,12,9,Female,71.065
Prof,B,46,45,Male,67.559
Prof,B,16,16,Male,134.55
Prof,B,16,15,Male,135.027
Prof,B,24,23,Male,104.428
AssocProf,B,9,9,Male,95.642
AssocProf,B,13,11,Male,126.431
Prof,B,24,15,Female,161.101
Prof,B,30,31,Male,162.221
AsstProf,B,8,4,Male,84.5
Prof,B,23,15,Male,124.714
Prof,B,37,37,Male,151.65
AssocProf,B,10,10,Male,99.247
Prof,B,23,23,Male,134.778
Prof,B,49,60,Male,192.253
Prof,B,20,9,Male,116.518
Prof,B,18,10,Female,105.45
Prof,B,33,19,Male,145.098
AssocProf,B,19,6,Female,104.542
Prof,B,36,38,Male,151.445
Prof,B,35,23,Male,98.053
Prof,B,13,12,Male,145
Prof,B,32,25,Male,128.464
Prof,B,37,15,Male,137.317
Prof,B,13,11,Male,106.231
Prof,B,17,17,Female,124.312
Prof,B,38,38,Male,114.596
Prof,B,31,31,Male,162.15
Prof,B,32,35,Male,150.376
Prof,B,15,10,Male,107.986
Prof,B,41,27,Male,142.023
Prof,B,39,33,Male,128.25
AsstProf,B,4,3,Male,80.139
Prof,B,27,28,Male,144.309
Prof,B,56,49,Male,186.96
Prof,B,38,38,Male,93.519
Prof,B,26,27,Male,142.5
Prof,B,22,20,Male,138
AsstProf,B,8,1,Male,83.6
Prof,B,25,21,Male,145.028
Prof,A,49,40,Male,88.709
Prof,A,39,35,Male,107.309
Prof,A,28,14,Female,109.954
AsstProf,A,11,4,Male,78.785
Prof,A,14,11,Male,121.946
Prof,A,23,15,Female,109.646
Prof,A,30,30,Male,138.771
AssocProf,A,20,17,Male,81.285
Prof,A,43,43,Male,205.5
Prof,A,43,40,Male,101.036
Prof,A,15,10,Male,115.435
AssocProf,A,10,1,Male,108.413
Prof,A,35,30,Male,131.95
Prof,A,33,31,Male,134.69
AssocProf,A,13,8,Male,78.182
Prof,A,23,20,Male,110.515
Prof,A,12,7,Male,109.707
Prof,A,30,26,Male,136.66
Prof,A,27,19,Male,103.275
Prof,A,28,26,Male,103.649
AsstProf,A,4,1,Male,74.856
AsstProf,A,6,3,Male,77.081
Prof,A,38,38,Male,150.68
AssocProf,A,11,8,Male,104.121
AsstProf,A,8,3,Male,75.996
Prof,A,27,23,Male,172.505
AssocProf,A,8,5,Male,86.895
Prof,A,44,44,Male,105
Prof,A,27,21,Male,125.192
Prof,A,15,9,Male,114.33
Prof,A,29,27,Male,139.219
Prof,A,29,15,Male,109.305
Prof,A,38,36,Male,119.45
Prof,A,33,18,Male,186.023
Prof,A,40,19,Male,166.605
Prof,A,30,19,Male,151.292
Prof,A,33,30,Male,103.106
Prof,A,31,19,Male,150.564
Prof,A,42,25,Male,101.738
Prof,A,25,15,Male,95.329
AsstProf,A,8,4,Male,81.035
